date,tem,DV,VV,Lluvia,Radsolar,Hr
01/03/2017 00:00,24.57,280,0.82,0,0,78.29
01/03/2017 01:00,24.53,298,1.07,0,0,79.02
01/03/2017 02:00,24.4,299,0.63,0,0,78.32
01/03/2017 03:00,24.49,255,0.89,0,0,79.68
01/03/2017 04:00,23.98,240,0.98,0,0,85
01/03/2017 05:00,23.21,254,1.24,0,0,90.2
01/03/2017 06:00,23.22,248,0.61,0,0,90
01/03/2017 07:00,23.51,263,0.77,0,47.21,88.2
01/03/2017 08:00,24.44,298,1.38,0,250,83.6
01/03/2017 09:00,24.92,252,1.2,0,256.4,82.3
01/03/2017 10:00,27.43,239,1.07,0,774,68.96
01/03/2017 11:00,28.68,248,1.55,0,881,56.96
01/03/2017 12:00,29,258,2.3,0,970,61.76
01/03/2017 13:00,29.14,250,2.09,0,791.2,60.52
01/03/2017 14:00,29.55,226,1.94,0.28,813,53.39
01/03/2017 15:00,28.28,233,1.8,0.03,315.1,56.57
01/03/2017 16:00,28.02,248,1.45,0.14,238.6,55.29
01/03/2017 17:00,27.6,244,1.7,0,198.9,59.25
01/03/2017 18:00,26.15,246,1.5,0,22.22,72.47
01/03/2017 19:00,24.86,239,1.19,0,0,77.77
01/03/2017 20:00,24.23,232,1.98,0,0,81.4
01/03/2017 21:00,24.89,311,1.14,0,0,75.38
01/03/2017 22:00,24.75,295,0.93,0,0,74.48
01/03/2017 23:00,24.45,278,0.6,0,0,78.68
02/03/2017 00:00,24.32,308,0.84,0,0,81.6
02/03/2017 01:00,24.42,262,0.58,0,0,81
02/03/2017 02:00,23.92,261,0.51,0,0,83.9
02/03/2017 03:00,23.89,254,1.11,0,0,84.7
02/03/2017 04:00,23.79,251,0.37,0,0,86.3
02/03/2017 05:00,23.63,247,0.94,0,0,87.7
02/03/2017 06:00,23.58,243,0.45,0,0,87.8
02/03/2017 07:00,23.71,235,0.91,0,29.73,87.4
02/03/2017 08:00,25.25,221,0.65,0,299.7,82.9
02/03/2017 09:00,,,,,,
02/03/2017 10:00,26.94,250,1.99,0,678,72.13
02/03/2017 11:00,28.13,256,1.52,0,836,63.88
02/03/2017 12:00,29.25,257,2.09,0,871,60.45
02/03/2017 13:00,29.88,251,1.74,0,925,49.08
02/03/2017 14:00,,,,,,
02/03/2017 15:00,30.08,242,1.85,0.48,776,47.67
